lat,lon,sog,VHM0,VTM10,along_current_kn,cross_current_kn,current_speed_ms,stw_est_kn,wind_speed_ms,cog_sin,cog_cos,VMDR_sin,VMDR_cos,wind_dir_to_sin,wind_dir_to_cos,rel_wave_angle_sin,rel_wave_angle_cos,rel_wind_angle_sin,rel_wind_angle_cos,mmsi,ts_utc,_t,wave_risk,wind_risk,current_risk,total_risk_score,high_risk,cluster,stormy,rough_seas,hazardous_conditions,high_waves,stormy_3m,stormy_2m,high_wind
-0.4814686749505253,-0.6786424656508466,-0.506342107600095,0.039713690397651775,0.07615494390838215,0.04295907301994132,-0.00010959291035798389,-0.054703317124605084,-0.12762896203025245,0.45783624392196737,-0.8427541029287028,1.5904397950280225,-0.07353327828435405,0.07890034117298513,0.6038285437428923,1.4242635800357037,0.38323245579863957,-0.09419538776949132,-0.15005969181321835,1.2352830000454653,412549027,2025-03-08 06:20:00,2025-03-08 06:20:00,0,0,0,0,0,2,0,0,0,1,0,0,0
-0.4814686749505253,-0.6786424656508466,-0.506342107600095,0.039713690397651775,0.07615494390838215,0.04295907301994132,-0.00010959291035798389,-0.054703317124605084,-0.12762896203025245,0.45783624392196737,-0.9487925988555048,1.5443090015274037,-0.07353327828435405,0.07890034117298513,0.6038285437428923,1.4242635800357037,0.38323245579863957,-0.09419538776949132,0.002387906130674217,1.142728169068709,412549025,2025-03-08 06:20:00,2025-03-08 06:20:00,0,0,0,0,0,2,0,0,0,1,0,0,0
-0.48346310790318275,-0.6789210167745944,-0.506342107600095,0.039713690397651775,0.07615494390838215,0.04295907301994132,-0.00010959291035798389,-0.054703317124605084,-0.12762896203025245,0.45783624392196737,1.7350205782282853,0.4233435063550514,-0.07353327828435405,0.07890034117298513,0.6038285437428923,1.4242635800357037,0.38323245579863957,-0.09419538776949132,0.5947131683318527,0.564104259625767,271072244,2025-03-10 05:30:00,2025-03-10 05:30:00,0,0,0,0,0,0,0,0,1,1,0,0,1
-0.48346310790318275,-0.6789210167745944,-0.506342107600095,0.039713690397651775,0.07615494390838215,0.04295907301994132,-0.00010959291035798389,-0.054703317124605084,-0.12762896203025245,0.45783624392196737,-1.6339651930126264,-0.09313205076410608,-0.07353327828435405,0.07890034117298513,0.6038285437428923,1.4242635800357037,0.38323245579863957,-0.09419538776949132,-0.054938091203146036,-1.164938654547797,461000153,2025-03-10 05:30:00,2025-03-10 05:30:00,0,0,0,0,0,2,0,0,0,1,0,0,0
2.2623962029177678,-3.773953198393721,-0.506342107600095,0.039713690397651775,0.07615494390838215,0.04295907301994132,-0.00010959291035798389,-0.054703317124605084,-0.12762896203025245,0.3186197781438476,1.7350205782282853,0.4233435063550514,-0.07353327828435405,0.07890034117298513,1.876839740112733,0.44261266017203194,0.38323245579863957,-0.09419538776949132,-2.0437911377319846,1.7649591378491318,316008008,2025-03-10 20:00:00,2025-03-10 20:00:00,0,0,0,0,0,2,0,0,0,1,0,0,0
2.2623962029177678,-3.773953198393721,-0.506342107600095,0.039713690397651775,0.07615494390838215,0.04295907301994132,-0.00010959291035798389,-0.054703317124605084,-0.12762896203025245,0.3186197781438476,-0.5612816781465922,-0.8337804039013813,-0.07353327828435405,0.07890034117298513,1.876839740112733,0.44261266017203194,0.38323245579863957,-0.09419538776949132,0.4188074302514733,-0.7820057098776196,316004122,2025-03-10 20:00:00,2025-03-10 20:00:00,0,0,0,0,0,2,0,0,0,1,0,0,0
0.18771106716501204,-0.8738561577390941,-0.506342107600095,0.039713690397651775,0.07615494390838215,0.04295907301994132,-0.00010959291035798389,-0.054703317124605084,-0.12762896203025245,-0.5339715845401379,-1.2596182770016506,1.3580101917765113,-0.07353327828435405,0.07890034117298513,-0.14638473878154795,-0.9514202979614865,0.38323245579863957,-0.09419538776949132,-0.012565255398260484,-1.138266582222919,403772940,2025-03-10 20:40:00,2025-03-10 20:40:00,0,0,0,0,0,2,0,0,0,1,0,0,0
0.18771106716501204,-0.8738561577390941,-0.506342107600095,0.039713690397651775,0.07615494390838215,0.04295907301994132,-0.00010959291035798389,-0.054703317124605084,-0.12762896203025245,-0.5339715845401379,-1.7284565608521012,0.720687927225729,-0.07353327828435405,0.07890034117298513,-0.14638473878154795,-0.9514202979614865,0.38323245579863957,-0.09419538776949132,0.7271099838715523,-0.2443944238977393,403775960,2025-03-10 20:40:00,2025-03-10 20:40:00,0,0,0,0,0,2,0,0,0,1,0,0,0
-2.4651696788629907,-4.7974513183603555,1.2390632960541448,0.039713690397651775,0.07615494390838215,0.04295907301994132,-0.00010959291035798389,-0.054703317124605084,-0.12762896203025245,0.6128109078681551,0.04871875441212933,-0.8974837498164003,-0.07353327828435405,0.07890034117298513,0.4095408659771495,1.4584933138395124,0.38323245579863957,-0.09419538776949132,0.7600873202085847,-0.0027760977639930545,412440154,2025-03-11 04:40:00,2025-03-11 04:40:00,0,0,0,0,0,2,0,0,0,1,0,0,0
-2.4651696788629907,-4.7974513183603555,1.2390632960541448,0.039713690397651775,0.07615494390838215,0.04295907301994132,-0.00010959291035798389,-0.054703317124605084,-0.12762896203025245,0.6128109078681551,0.04871875441212933,-0.8974837498164003,-0.07353327828435405,0.07890034117298513,0.4095408659771495,1.4584933138395124,0.38323245579863957,-0.09419538776949132,0.7600873202085847,-0.0027760977639930545,412440150,2025-03-11 04:40:00,2025-03-11 04:40:00,0,0,0,0,0,2,0,0,0,1,0,0,0
-1.0222449241140037,-0.46160049459255537,0.19182005386160095,0.039713690397651775,0.07615494390838215,0.04295907301994132,-0.00010959291035798389,-0.054703317124605084,-0.12762896203025245,-0.7406424094659456,0.04871875441212933,-0.8974837498164003,-0.07353327828435405,0.07890034117298513,1.6112425422261176,-0.38134234578124376,0.38323245579863957,-0.09419538776949132,0.7600873202085847,-0.0027760977639930545,412549187,2025-03-12 02:30:00,2025-03-12 02:30:00,0,0,0,0,0,2,0,0,1,0,0,0,0
-1.0222449241140037,-0.46160049459255537,0.19182005386160095,0.039713690397651775,0.07615494390838215,0.04295907301994132,-0.00010959291035798389,-0.054703317124605084,-0.12762896203025245,-0.7406424094659456,0.04871875441212933,-0.8974837498164003,-0.07353327828435405,0.07890034117298513,1.6112425422261176,-0.38134234578124376,0.38323245579863957,-0.09419538776949132,0.7600873202085847,-0.0027760977639930545,200063747,2025-03-12 02:30:00,2025-03-12 02:30:00,0,0,0,0,0,2,0,0,1,1,0,0,1
-0.16910248536522818,0.9281417074433896,-0.506342107600095,0.039713690397651775,0.07615494390838215,-3.1012818793889965,0.41181098499139407,-0.054703317124605084,0.33779803801037317,-0.4481313804486152,1.7083700525381056,0.6528748458467712,-0.07353327828435405,0.07890034117298513,-0.5319139776484031,-0.9035499582192531,-0.7328935985462629,2.352113668839642,0.4069986236443173,-0.7947771203098989,416068899,2025-03-12 07:10:00,2025-03-12 07:10:00,0,0,0,0,0,0,0,0,1,1,0,0,1
-0.16910248536522818,0.9281417074433896,-0.506342107600095,0.039713690397651775,0.07615494390838215,-3.173745833428965,-0.0866232840085866,-0.054703317124605084,0.35900456211063697,-0.4481313804486152,1.7350205782282853,0.4233435063550514,-0.07353327828435405,0.07890034117298513,-0.5319139776484031,-0.9035499582192531,-1.3634390824687914,2.715991359174305,0.6196543062945662,-0.5072626676892554,416068904,2025-03-12 07:10:00,2025-03-12 07:10:00,0,0,0,0,0,0,0,0,1,1,0,0,1
0.18771106716501204,-0.8738561577390941,-0.506342107600095,0.039713690397651775,0.07615494390838215,0.04295907301994132,-0.00010959291035798389,-0.054703317124605084,-0.12762896203025245,-0.5339715845401379,1.5150761079594137,-0.21748672307041841,-0.07353327828435405,0.07890034117298513,-0.14638473878154795,-0.9514202979614865,0.38323245579863957,-0.09419538776949132,0.47327286206531843,0.7336097234081934,403775960,2025-03-13 03:20:00,2025-03-13 03:20:00,0,0,0,0,0,2,0,0,1,1,0,0,1
0.18771106716501204,-0.8738561577390941,-0.506342107600095,0.039713690397651775,0.07615494390838215,0.04295907301994132,-0.00010959291035798389,-0.054703317124605084,-0.12762896203025245,-0.5339715845401379,-1.728456560852101,0.1259990854843732,-0.07353327828435405,0.07890034117298513,-0.14638473878154795,-0.9514202979614865,0.38323245579863957,-0.09419538776949132,0.6019379156141623,0.5521119626697771,403775540,2025-03-13 03:20:00,2025-03-13 03:20:00,0,0,0,0,0,2,0,0,1,1,0,0,1
0.18771106716501204,-0.8738561577390941,-0.506342107600095,0.039713690397651775,0.07615494390838215,0.04295907301994132,-0.00010959291035798389,-0.054703317124605084,-0.12762896203025245,-0.5339715845401379,1.2844403952724033,-0.46112557610802635,-0.07353327828435405,0.07890034117298513,-0.14638473878154795,-0.9514202979614865,0.38323245579863957,-0.09419538776949132,0.09469586225171517,1.079738543504096,403772940,2025-03-13 03:20:00,2025-03-13 03:20:00,0,0,0,0,0,2,0,0,1,1,0,0,1
0.18771106716501204,-0.8738561577390941,-0.506342107600095,0.039713690397651775,0.07615494390838215,0.04295907301994132,-0.00010959291035798389,-0.054703317124605084,-0.12762896203025245,-0.5339715845401379,0.22494182515795597,1.7322979643171963,-0.07353327828435405,0.07890034117298513,-0.14638473878154795,-0.9514202979614865,0.38323245579863957,-0.09419538776949132,-2.341676902531386,-1.7670696493361415,403775540,2025-03-13 03:20:00,2025-03-13 03:20:00,0,0,0,0,0,2,0,0,1,1,0,0,1
-0.30956754903097883,0.7373341876762418,0.017279513496176912,0.039713690397651775,0.07615494390838215,0.04295907301994132,-0.00010959291035798389,-0.054703317124605084,-0.12762896203025245,2.5776818886317616,0.04871875441212933,-0.8974837498164003,-0.07353327828435405,0.07890034117298513,-1.867340686379898,0.33271222469454903,0.38323245579863957,-0.09419538776949132,0.7600873202085847,-0.0027760977639930545,900090906,2025-03-13 04:20:00,2025-03-13 04:20:00,0,0,0,0,0,0,0,0,1,1,0,0,1
-0.30956754903097883,0.7373341876762418,0.017279513496176912,0.039713690397651775,0.07615494390838215,0.04295907301994132,-0.00010959291035798389,-0.054703317124605084,-0.12762896203025245,2.5776818886317616,0.04871875441212933,-0.8974837498164003,-0.07353327828435405,0.07890034117298513,-1.867340686379898,0.33271222469454903,0.38323245579863957,-0.09419538776949132,0.7600873202085847,-0.0027760977639930545,412462283,2025-03-13 04:20:00,2025-03-13 04:20:00,0,0,0,0,0,0,0,0,1,1,0,0,1
