PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,mmsi,ts_utc,hazardous_conditions
-0.14143425014677788,-0.4887930728777542,-0.2733693052114237,-0.5984180419744602,0.4224792125881336,0.6549524602032639,-0.6274389422934764,-0.022719501252495538,0.48344863836849095,0.04425596481578241,-0.34506415500533294,-1.5807041075512265,-0.6615507731149661,-0.13818761910332072,412549027,2025-03-08 06:20:00,0
-0.1340834946211642,-0.4714608169110108,-0.3538515652693767,-0.5626888944790914,0.47325845232793073,0.591634837507029,-0.6510951487482846,0.015743187282791282,0.38686462761632867,0.005359145482816012,-0.2387538650775521,-1.632103749820655,-0.662332187287112,-0.13901262467752223,412549025,2025-03-08 06:20:00,0
0.002671451230085643,0.4728272462742224,0.41875736271110175,0.21008928382491454,0.44621224110043406,1.3927279098408456,-0.7650564038662542,0.08284091474594957,-0.585906028353679,0.08442591263084498,-0.5626735545642948,0.5424332441314491,-1.1717569230026785,0.4044836995230603,271072244,2025-03-10 05:30:00,1
-0.07785330582478407,-0.28855509610077307,-0.8391830050958637,-0.39518936894048906,1.0135643577166822,-0.8407906786982983,-0.8578686679153751,0.45313261985007,-0.40218094150166706,-0.19002861616141675,-0.5858681928260204,-1.425220221502905,-0.41203125922295397,0.1818753192132242,461000153,2025-03-10 05:30:00,0
-0.5431256154757647,-1.3600113066589754,1.8427341104560688,0.5663186502604557,-0.8185160397656817,1.4053261549786644,0.7568878319305866,-0.08043677753759385,1.542360508332743,-0.5780309021833053,-1.9713715899577187,0.16717052161243573,-2.4812203497430856,-1.8747427897196651,316008008,2025-03-10 20:00:00,0
-0.4166252504770295,-1.1242604295351508,0.22399038581762087,1.1013313255861892,0.22705808484595316,-0.3765360716808672,0.2564404466179562,0.7636914454249452,-0.3798627618503608,-1.312487102326047,-0.32187113366279085,-0.7843852336847581,-2.3351542601438275,-1.777018690651775,316004122,2025-03-10 20:00:00,0
-0.39650263867237096,-1.9632245178070546,-0.08483594146992228,-0.15043921277747893,-0.5129060928942313,-1.206683378616135,-0.2600357663771837,0.4361665455961053,-0.6087267048813765,-0.23059517997492812,0.4201599975708339,-0.6855463226675609,0.17567475227249535,0.013209910130041913,403772940,2025-03-10 20:40:00,0
-0.3201096257830393,-1.5750953279772564,-0.3568304999835383,0.4904409288321006,-0.12337317494529243,-0.733810676940569,-0.05412458211460863,0.28713332175909884,-0.26747312496816716,-0.4121056639707486,1.1308377481597014,-1.1626061082599901,0.17925318880349245,-0.04032607873872346,403775960,2025-03-10 20:40:00,0
0.06741608348649324,-0.31020488657973044,0.10537770770492906,1.696073662775768,0.9871034673814013,0.556513752824771,-3.907198833641464,1.0987759259677712,1.0463774737158955,-0.8155175993825864,0.0911554931142283,0.16454206045082548,-0.6526223962485418,-1.6036666490115412,412440154,2025-03-11 04:40:00,0
0.06741608348649324,-0.31020488657973044,0.10537770770492906,1.696073662775768,0.9871034673814013,0.556513752824771,-3.907198833641464,1.0987759259677712,1.0463774737158955,-0.8155175993825864,0.0911554931142283,0.16454206045082548,-0.6526223962485418,-1.6036666490115412,412440150,2025-03-11 04:40:00,0
0.03815033739374921,-0.3605448447981722,0.3402664545220991,0.5702266248295513,1.4377457821295405,0.6770514840574383,-0.6071764846980566,0.4287459604706923,-0.10135906052152995,-1.3558832015513875,0.11588935642393547,0.18489235855409392,-0.051306839077574565,-0.44058264004191355,412549187,2025-03-12 02:30:00,1
0.0422000533677093,-0.35884705125606225,0.3429450677998224,0.5741873894961674,1.5064053568362186,0.718951592393575,-0.6119642610223162,0.42147277593125476,-0.17801239621438925,-1.3870334193588858,0.21198366966478294,0.2688871793931186,0.29728925077773477,0.37270804381321465,200063747,2025-03-12 02:30:00,1
-0.033800866352653496,1.0876657151527604,3.444144228016819,-0.7146268791620544,-1.1696678448426663,0.2657802150148714,-0.22162023915994725,0.0868691276166685,-2.1330959448969327,0.8146762582176197,0.8205623438911969,-0.061328522232453116,1.2070378944893865,0.741643101632318,416068899,2025-03-12 07:10:00,1
-0.0030771985911123485,1.5017400483241894,3.8417472947098252,-0.7064452393577006,-0.7739067724963642,0.08327146308843232,-0.07378591713591437,-0.0834307757699202,-1.9070903106552037,0.9863194930147133,1.3266740189811546,0.03474068094719342,1.1493719734603725,0.5650345500050087,416068904,2025-03-12 07:10:00,1
-0.20871743616209523,-0.5901144861510509,0.9384665164712251,1.3131412680359273,-0.3843557501277839,0.987320088698204,0.18249156693068178,-0.10325916385617705,-0.10979052760581258,-0.10378335070327208,0.3947650433792915,1.0494459900473025,-0.31829310306727365,0.4404074465940164,403775960,2025-03-13 03:20:00,1
-0.2857982467130367,-1.30625405242648,-0.2785344906663942,0.892412592242351,0.06542192509586242,-0.269721201301874,0.20247793263296918,0.0453605664885631,0.3264623294809011,-0.42166391648407836,1.2070939014047635,-1.2317020873230895,0.37219024783929905,0.3079413013290455,403775540,2025-03-13 03:20:00,1
-0.21353514673777182,-0.5851320106371265,0.9567642636110234,1.366226070355015,-0.3204584341329755,1.0527472758420584,0.3304659952919106,-0.23706742978668402,0.36410886971713213,-0.0730239614421018,0.24592594751722577,0.8398834299139006,-0.18776096184849447,0.4571088710657141,403772940,2025-03-13 03:20:00,1
-0.5186151202742818,-2.368226844763936,0.9128257637207814,-0.9808308836324388,-1.1982880484602962,-1.385118855988979,-0.24850354989783516,0.29388160360231785,-0.18937159936979459,0.28050201793407803,-1.4784451913731844,0.5455420694013432,0.381568324096405,0.5353860522666231,403775540,2025-03-13 03:20:00,1
-0.030663106315245034,1.8531188702373167,-1.3986285216450234,1.1325138824869412,-0.5703671562674578,-0.1801045651039393,-0.9408108122645102,-0.17499676859393834,-0.15369571515660424,1.8940346663194285,0.10627460163673641,-0.23596352915001678,-0.09306624074968181,1.0451335775303499,900090906,2025-03-13 04:20:00,1
-0.030663106315245034,1.8531188702373167,-1.3986285216450234,1.1325138824869412,-0.5703671562674578,-0.1801045651039393,-0.9408108122645102,-0.17499676859393834,-0.15369571515660424,1.8940346663194285,0.10627460163673641,-0.23596352915001678,-0.09306624074968181,1.0451335775303499,412462283,2025-03-13 04:20:00,1
-0.2195782004243765,-2.4019969017690648,-2.1166054705787136,-2.0736010425287064,3.139460856105206,-1.63102084232573,-0.11090847917726392,-0.24233300765785112,0.957118609914063,0.20954654835894157,-1.7746436106768848,0.7987395847944685,0.2351934907128495,0.7717881122459223,574010429,2025-03-15 00:00:00,1
-0.22098479353346975,-2.3890764398705677,-2.0759095417578903,-2.032814870620949,3.1394742166519882,-1.672538625769932,-0.10372284168871233,-0.23603351228901986,0.9818562090167537,0.19776124325273794,-1.8433309615150542,0.7831888508670146,0.2451889304693466,0.7887205213450628,574710054,2025-03-15 00:00:00,1
-0.11462875426075389,-0.41856195512821326,-0.6024879331357873,-0.4452416517815223,0.6555203412068292,0.35887679413662,-0.7220585723760947,0.13748671510544816,0.055690990047362186,-0.12532140766554023,0.10280466981231826,-1.7226605705707967,-0.5107267175450032,0.20631232151393886,412549025,2025-03-15 01:20:00,1
-0.14726124325987575,-0.4976774184064339,-0.2506608005493506,-0.5993835217867776,0.42360758465097836,0.6804103038848153,-0.6159845778794559,-0.039389813426442204,0.48671025616467223,0.04304862446669517,-0.31983170253020676,-1.519976822639095,-0.5181518993454672,0.19605893650105344,412549018,2025-03-15 01:20:00,1
-0.2699471992328671,-0.08576403163930883,1.0098810508237939,1.414485945095655,1.5059319300147964,-1.6831846854277668,1.578286011701355,-1.0226407241808888,2.4098545475979423,0.7551820959376572,-0.7695015607073827,-0.14274506223219818,1.051997361832644,1.002809034589535,30551355,2025-03-15 01:30:00,1
-0.2699471992328671,-0.08576403163930883,1.0098810508237939,1.414485945095655,1.5059319300147964,-1.6831846854277668,1.578286011701355,-1.0226407241808888,2.4098545475979423,0.7551820959376572,-0.7695015607073827,-0.14274506223219818,1.051997361832644,1.002809034589535,62563904,2025-03-15 01:30:00,1
-0.07680935298900474,-0.2914231971836209,-0.9214574328086798,-0.33938165396150255,1.03004837992262,-0.6730243349568003,-0.8621197839109421,0.442412325720592,-0.4807689817788053,-0.25039019974208776,-0.21069474483708794,-1.5422085593898323,-0.3246429873968514,0.4449161282148999,412549018,2025-03-15 01:50:00,1
0.05160935002408059,0.5980169973607448,-0.32176453349867146,0.5829038319958594,1.1258537112281823,0.5780318017363697,-0.6531737236384032,0.18681674462092915,-0.38246167694017597,-0.19120769920985234,-0.2278103981421864,-0.38419327838515943,-0.7558474314164993,0.523052431221735,412549027,2025-03-15 01:50:00,1
0.2234199529555309,2.103190170595668,5.33399864053296,-2.256506444499525,2.4226060882925338,0.5970368578884626,0.2393114828993009,-0.8600744340714127,0.4778201091515827,0.652157637065733,1.2988037466278959,0.03640388446718662,0.8345309795851168,-0.19275582006613545,412501603,2025-03-15 02:10:00,1
0.1688474799258073,-0.015769522088263033,0.25959318479878796,-0.01403607993378577,2.179014843941452,0.9717286935270898,-0.17690012490668136,0.19047407999210764,-0.5912524313249068,-1.275222681439254,-0.07980683934408273,-0.013831520465474416,0.22452705221253294,1.159639588602426,412501954,2025-03-15 02:10:00,1
-0.04980082915066133,1.9522622452373772,3.8913428475273784,0.13183573958428915,1.3180683069235888,-1.2911565691606997,1.123489305246549,-1.0407617793966035,0.8541445905074629,1.454710057985467,1.607578684831477,0.2389886421535894,1.0167068817106655,0.2654390664563798,30551399,2025-03-15 02:20:00,1
-0.3428869095914295,-2.5403541413490704,-2.5426894581538857,-2.906734963259347,0.20732112598171537,0.36754828869290734,0.37480358990657964,-0.7983220807023513,-0.4365382807360698,1.5879945764556187,1.772350081026127,1.4078957697485013,0.788696440122626,0.3471798959277288,30551399,2025-03-15 02:20:00,1
-0.35610107344440656,-2.5074301711076745,-1.5544155532314041,-2.5623878675430487,-0.985738511230501,0.5649126236799555,0.022138456381327637,-0.3406314674037372,-0.9229064626783186,1.1886407508404417,0.10487825922006647,0.8591053723089976,1.136389587318601,0.819129523741156,30551355,2025-03-15 02:20:00,1
